Strain,Stress
0.12,546.126317
0.1202,545.7758798
0.1202,545.275673
0.1204,544.9252358
0.1204,545.0919713
0.1206,544.5747985
0.1206,544.5747985
0.1208,544.2243613
0.1208,543.7241545
0.121,543.5404529
0.121,543.2069817
0.1212,542.8565444
0.1212,542.5230733
0.1214,542.3393716
0.1214,542.172636
0.1216,541.9889344
0.1216,541.6554632
0.1218,541.4717615
0.1218,540.9715548
0.122,540.9545887
0.122,540.454382
0.1222,540.2706803
0.1224,540.0869786
0.1224,539.9202431
0.1224,539.7535075
0.1226,539.2363346
0.1228,539.052633
0.1228,538.7191618
0.123,538.201989
0.1232,538.0182873
0.1232,537.6848162
0.1234,537.3343789
0.1234,537.0009077
0.1234,536.8341722
0.1236,536.8172061
0.1238,536.1332977
0.1238,535.9665621
0.124,535.6161248
0.124,535.4493893
0.124,535.2826537
0.1242,534.9322164
0.1244,534.5817792
0.1244,534.4150436
0.1246,534.2313419
0.1246,534.0646064
0.1248,533.7141691
0.1248,533.3806979
0.125,533.1969963
0.125,532.5300539
0.1252,532.3463523
0.1252,532.1796167
0.1254,531.8291795
0.1254,531.6624439
0.1256,531.3120066
0.1256,530.8117999
0.1258,530.4613626
0.1258,530.294627
0.126,529.9441898
0.126,529.9441898
0.1262,529.5937526
0.1262,529.2602814
0.1264,528.7431086
0.1266,528.2259357
0.1266,528.3926713
0.1266,528.2259357
0.1268,527.8754985
0.127,527.3583257
0.127,526.8581189
0.127,526.8581189
0.1272,526.3409461
0.1274,525.8237732
0.1274,525.6570377
0.1276,525.473336
0.1278,524.9561632
0.1278,524.4559564
0.128,523.9387836
0.1282,523.7550819
0.1282,523.0881396
0.1284,522.7377023
0.1286,522.2205295
0.1286,522.0537939
0.1288,521.7033567
0.1288,521.2031499
0.129,520.8527127
0.1292,520.5022754
0.1292,520.3355399
0.1294,519.818367
0.1296,519.4679298
0.1296,519.1344586
0.1296,518.8009874
0.1298,518.6172858
0.1298,518.117079
0.13,517.9333774
0.13,517.5999062
0.1302,517.249469
0.1302,517.0827334
0.1304,516.5655605
0.1304,516.0653538
0.1306,515.8816521
0.1306,515.8816521
0.1308,515.3644793
0.131,515.0140421
0.131,514.6805709
0.1312,513.9966625
0.1312,513.9966625
0.1314,513.4794897
0.1314,513.1460185
0.1316,512.7955812
0.1316,512.6288457
0.1318,512.6118796
0.1318,512.1116728
0.132,511.5945
0.132,511.0942932
0.1322,510.9105916
0.1322,510.5771204
0.1324,510.2266832
0.1324,509.7264764
0.1326,509.5427748
0.1326,509.042568
0.1328,509.0256019
0.1328,508.3586596
0.133,508.3416935
0.133,507.8414868
0.1332,507.4910495
0.1332,507.3243139
0.1334,506.8071411
0.1334,506.3069344
0.1336,506.2899683
0.1336,505.7897615
0.1338,505.4393243
0.1338,505.1058531
0.134,504.7554159
0.134,504.5886803
0.1342,503.7380363
0.1342,503.9047719
0.1344,503.5543346
0.1344,502.8873923
0.1346,502.7036906
0.1346,502.0367483
0.1348,502.1865178
0.1348,501.686311
0.135,501.5026094
0.135,501.0024026
0.1352,500.6519654
0.1352,500.1517586
0.1354,499.6345858
0.1354,499.4678502
0.1356,499.117413
0.1358,498.4335046
0.1358,498.266769
0.136,498.0830673
0.136,497.416125
0.1362,497.0656877
0.1362,496.565481
0.1364,496.3817793
0.1366,495.6978709
0.1366,495.1976642
0.1368,494.6804913
0.1368,494.6804913
0.137,494.1633185
0.137,493.4963762
0.1372,493.1459389
0.1372,492.8124677
0.1374,492.4620305
0.1374,492.1285593
0.1376,491.7781221
0.1376,491.2779153
