Strain,Stress
0.1076,758.7023921
0.1078,758.7023921
0.1078,758.7023921
0.108,758.7023921
0.108,758.5343517
0.1082,758.5343517
0.1084,758.7023921
0.1084,758.5343517
0.1086,758.5343517
0.1086,758.3663113
0.1088,758.3663113
0.1088,758.3663113
0.109,758.3663113
0.109,758.1982709
0.1092,758.1982709
0.1092,758.1982709
0.1094,758.0302305
0.1094,758.0302305
0.1096,757.8621901
0.1096,758.0302305
0.1098,758.0302305
0.1098,758.0302305
0.11,757.8621901
0.11,757.8621901
0.1102,757.8621901
0.1102,757.6941497
0.1104,757.6941497
0.1104,757.5261093
0.1106,757.5261093
0.1106,757.5261093
0.1108,757.5261093
0.1108,757.5261093
0.111,757.3580689
0.1112,757.3580689
0.1112,757.3580689
0.1112,757.3580689
0.1114,757.1900285
0.1114,757.1900285
0.1116,757.3580689
0.1116,757.1900285
0.1118,757.0219881
0.112,757.0219881
0.112,757.0219881
0.1122,756.8539477
0.1122,756.8539477
0.1124,756.8539477
0.1126,756.8539477
0.1126,756.8539477
0.1126,756.8539477
0.1128,756.6859073
0.113,756.5178669
0.113,756.5178669
0.1132,756.3498265
0.1132,756.3498265
0.1134,756.1817861
0.1136,756.1817861
0.1136,756.1817861
0.1136,756.1817861
0.1138,756.1817861
0.114,755.8457053
0.114,756.0137457
0.1142,755.8457053
0.1142,755.8457053
0.1144,755.8457053
0.1144,755.6776649
0.1146,755.5096245
0.1146,755.3415841
0.1148,755.5096245
0.1148,755.3415841
0.115,755.1735437
0.115,755.3415841
0.1152,755.3415841
0.1152,755.1735437
0.1154,755.1735437
0.1154,755.1735437
0.1156,754.8374629
0.1158,755.0055033
0.1158,754.8374629
0.1158,754.8374629
0.116,754.8374629
0.116,754.6694225
0.1162,754.5013821
0.1162,754.5013821
0.1164,754.3333417
0.1164,754.3333417
0.1166,754.1653013
0.1166,754.1653013
0.1168,754.1653013
0.1168,753.9972609
0.117,753.8292205
0.117,753.6611801
0.1172,753.6611801
0.1172,753.8292205
0.1174,753.6611801
0.1174,753.4931398
0.1176,753.3250994
0.1178,753.3250994
0.1178,753.3250994
0.1178,753.157059
0.118,752.9890186
0.1182,752.8209782
0.1182,752.8209782
0.1184,752.6529378
0.1186,752.4848974
0.1186,752.4848974
0.1188,752.316857
0.1188,752.316857
0.119,752.316857
0.119,752.1488166
0.1192,751.9807762
0.1192,751.9807762
0.1194,751.8127358
0.1194,751.8127358
0.1196,751.6446954
0.1196,751.476655
0.1198,751.476655
0.1198,751.3086146
0.12,751.3086146
0.12,751.1405742
0.1202,750.9725338
0.1202,750.8044934
0.1204,750.8044934
0.1204,750.636453
0.1206,750.4684126
0.1208,750.4684126
0.1208,750.3003722
0.1208,750.3003722
0.121,750.3003722
0.121,749.9642914
0.1212,749.796251
0.1214,749.796251
0.1214,749.6282106
0.1216,749.4601702
0.1216,749.4601702
0.1218,749.1240894
0.1218,749.1240894
0.122,748.956049
0.1222,748.956049
0.1222,748.6199682
0.1224,748.6199682
0.1224,748.4519278
0.1224,748.4519278
0.1226,748.2838874
0.1228,747.9478067
0.1228,747.6117259
0.123,747.7797663
0.123,747.6117259
0.1232,747.6117259
0.1232,747.4436855
0.1234,747.1076047
0.1234,747.2756451
0.1236,746.9395643
0.1236,746.9395643
0.1238,746.6034835
0.1238,746.6034835
0.124,746.4354431
0.124,746.4354431
0.1242,746.0993623
0.1242,745.9313219
0.1244,745.7632815
0.1244,745.5952411
0.1246,745.4272007
0.1246,745.2591603
0.1248,745.2591603
0.125,745.0911199
0.125,744.9230795
0.125,744.7550391
0.1252,744.7550391
0.1254,744.4189583
0.1254,744.4189583
0.1254,744.0828775
0.1256,744.0828775
0.1258,743.9148371
0.1258,743.7467967
0.126,743.5787563
0.126,743.4107159
0.1262,743.0746351
0.1264,742.9065947
0.1264,742.7385543
0.1266,742.7385543
0.1266,742.570514
0.1268,742.2344332
0.1268,742.0663928
0.127,741.730312
0.127,741.8983524
0.1272,741.5622716
0.1272,741.3942312
0.1274,741.3942312
0.1274,741.0581504
0.1276,741.0581504
0.1276,740.7220696
0.1278,740.7220696
0.1278,740.5540292
0.128,740.2179484
0.128,740.049908
0.1282,739.8818676
0.1282,739.7138272
0.1284,739.5457868
0.1284,739.209706
0.1286,739.209706
0.1286,739.0416656
0.1288,738.8736252
0.1288,738.7055848
0.129,738.369504
0.129,738.369504
0.1292,738.2014636
0.1292,737.8653828
0.1294,737.6973424
0.1296,737.529302
0.1296,737.3612616
0.1296,737.1932213
0.1298,737.0251809
0.13,736.8571405
0.13,736.5210597
0.1302,736.3530193
0.1302,736.1849789
0.1304,735.8488981
0.1306,735.6808577
0.1306,735.5128173
0.1306,735.3447769
0.1308,735.1767365
0.131,735.0086961
0.131,734.6726153
0.131,734.5045749
0.1312,734.3365345
0.1314,734.1684941
0.1314,734.0004537
0.1316,733.8324133
0.1316,733.6643729
0.1318,733.3282921
0.1318,733.1602517
0.132,732.9922113
0.132,732.4880901
0.1322,732.4880901
0.1322,732.3200497
0.1324,731.9839689
0.1324,731.6478882
0.1326,731.6478882
0.1326,731.4798478
0.1328,731.3118074
0.1328,730.9757266
0.133,730.6396458
0.1332,730.4716054
0.1332,730.4716054
0.1332,730.1355246
0.1334,729.7994438
0.1336,729.6314034
0.1336,729.463363
0.1336,729.2953226
0.1338,728.9592418
0.134,728.623161
0.134,728.4551206
0.1342,728.2870802
0.1342,728.2870802
0.1344,727.9509994
0.1344,727.782959
0.1346,727.4468782
0.1346,727.2788378
0.1348,727.1107974
0.1348,726.942757
0.135,726.6066762
0.135,726.4386358
0.1352,726.1025551
0.1352,725.9345147
0.1354,725.5984339
0.1354,725.4303935
0.1356,725.0943127
0.1358,724.9262723
0.1358,724.5901915
0.136,724.0860703
0.1362,723.9180299
0.1362,723.5819491
0.1362,723.5819491
0.1364,723.2458683
0.1364,723.0778279
0.1366,722.7417471
0.1368,722.4056663
0.1368,722.2376259
